case,water81,water80,water79,income,educat,retire,peop81,cpeop,peop80
5,2300,3500,3500,35,18,0,3,0,3
6,2500,4600,4100,60,20,0,5,0,5
7,4000,3800,5500,30,16,0,6,1,5
8,500,1500,1700,20,11,1,1,-1,2
9,4400,4300,3700,50,20,0,2,0,2
10,1900,1500,1600,18,13,0,5,0,5
11,3600,3500,3500,25,14,1,3,0,3
12,2200,2400,4900,21,20,1,2,0,2
13,2300,1900,2900,13,11,0,4,0,4
14,2200,2500,3900,30,20,0,2,0,2
15,3500,3300,4600,13,11,0,3,0,3
16,3600,3100,5200,30,20,0,5,0,5
17,3000,3700,5400,35,16,0,5,0,5
18,4400,3700,14500,15,16,0,7,-1,8
19,4000,4000,2800,35,12,0,8,1,7
20,1600,1500,2000,15,13,0,4,0,4
21,1000,1200,1300,19,12,1,1,0,1
22,1400,1700,1800,35,10,0,3,0,3
23,3900,4700,NA,25,16,1,3,0,3
24,1100,1100,1200,7,11,1,2,0,2
25,1300,1500,1700,25,12,0,4,0,4
26,3100,2800,3700,29,13,0,4,0,4
27,1600,2500,3000,26,16,0,2,0,2
28,500,300,1000,30,18,1,2,0,2
29,7100,5300,6200,20,13,0,8,0,8
30,800,1000,1600,17,13,1,2,0,2
31,2300,1900,2900,30,12,0,2,0,2
33,1200,1200,1000,25,18,0,1,0,1
34,1000,2000,1300,19,14,0,3,0,3
35,400,700,700,5,8,1,2,0,2
36,500,1500,2800,20,13,1,4,-1,5
37,2200,1400,2800,10,9,0,2,0,2
38,1300,1200,1100,5,8,1,2,0,2
39,1500,500,500,11,16,1,2,1,1
40,1800,1800,NA,15,14,0,3,0,3
41,3000,1400,2500,40,14,1,1,0,1
42,2700,2800,3000,30,13,0,4,-1,5
43,2300,4600,3800,53,20,0,3,0,3
44,2100,2500,5600,25,20,0,3,0,3
45,700,1000,1000,10,12,1,2,0,2
46,1500,1700,NA,20,20,0,4,0,4
47,600,600,1100,5,12,1,1,0,1
48,1500,1600,2400,5,12,1,1,-1,2
49,1700,1500,1800,10,12,1,2,0,2
50,3300,3100,2100,13,12,1,2,0,2
51,600,600,1200,5,12,1,1,0,1
52,2600,3700,3100,50,20,0,5,0,5
53,2900,2400,2600,35,14,1,3,0,3
55,1400,1100,1700,3,11,0,2,0,2
56,2600,2600,2700,29,18,0,4,0,4
57,2300,3100,3000,40,12,0,5,0,5
58,1400,2100,1100,13,11,1,2,0,2
59,1400,2200,2200,20,12,0,3,0,3
60,1100,1300,1300,30,14,0,2,0,2
61,1100,1200,1600,21,16,0,2,0,2
62,300,200,1500,15,12,0,2,0,2
63,2400,2500,2900,20,12,1,3,0,3
64,1100,1000,1100,25,20,0,4,0,4
65,700,800,800,20,12,1,3,0,3
66,1700,2100,1300,25,18,0,2,0,2
67,2900,3200,3700,10,16,1,4,0,4
68,9400,9300,12600,25,12,0,10,0,10
69,1800,2400,2500,45,20,0,4,0,4
70,2100,1500,2000,10,18,0,3,0,3
71,3200,3000,3000,72,14,1,5,1,4
72,1800,2200,2900,17,16,1,2,0,2
73,300,1200,300,10,13,1,2,0,2
74,7500,7500,6800,35,12,1,5,-1,6
75,100,200,500,35,14,1,2,0,2
76,4500,3100,3800,15,13,0,5,2,3
78,2100,1900,2200,5,12,1,2,0,2
79,2200,1000,3700,45,13,0,3,0,3
80,2300,1800,1700,10,14,0,2,1,1
81,1500,1200,1700,25,12,0,2,0,2
82,700,1100,1000,5,12,0,1,0,1
83,1000,1800,2800,10,12,0,2,0,2
84,1400,1300,1600,20,14,0,3,0,3
85,1000,1100,1600,10,12,0,1,-1,2
86,8100,6800,7600,32,11,0,7,0,7
87,7300,2600,2300,45,16,0,4,0,4
88,2900,2500,2500,37,12,0,3,0,3
89,3000,2300,3900,10,14,0,2,0,2
90,1100,800,2300,50,18,0,1,0,1
91,1700,1700,1400,30,13,0,4,0,4
92,6500,1000,1200,35,12,0,2,0,2
93,2900,4600,4700,35,20,0,4,0,4
94,3000,6800,4600,35,18,0,3,-1,4
95,1100,1000,1000,35,12,0,1,0,1
96,1800,1800,2000,25,14,0,2,0,2
97,3500,3300,2800,15,9,0,3,0,3
98,1500,1300,1500,25,16,0,2,0,2
99,3500,6500,5100,25,14,0,6,0,6
100,1000,1000,2700,13,12,1,1,0,1
101,3800,12700,4800,45,20,0,5,0,5
102,4100,4500,2600,30,20,0,5,0,5
103,4200,5600,5400,30,16,0,5,-1,6
104,2400,2700,800,50,16,0,6,0,6
105,1600,2300,2200,10,14,0,4,0,4
107,2300,2300,3100,35,16,0,4,-2,6
108,600,600,NA,15,20,0,1,0,1
109,5400,2900,3600,35,16,0,6,0,6
110,1500,1400,1700,21,15,1,2,0,2
111,1000,4700,3800,10,18,1,1,0,1
113,2000,2500,2000,15,16,1,2,0,2
114,100,1000,1000,15,12,0,1,0,1
115,2600,2800,5700,60,20,0,2,0,2
116,3000,3500,4200,35,20,0,5,0,5
117,7100,5900,5700,20,12,1,10,0,10
118,2800,2900,3300,40,14,0,3,0,3
119,1900,1700,3500,10,8,1,1,0,1
120,2500,2800,2600,25,11,0,4,0,4
121,2700,2400,6000,23,10,1,4,1,3
122,1800,1900,2300,5,10,1,2,0,2
123,1100,1800,2600,20,20,1,2,0,2
124,2400,3200,3700,40,16,1,4,0,4
125,1700,1900,2500,25,20,1,2,0,2
126,1700,2600,2200,25,13,0,2,0,2
127,7900,4000,5100,90,18,0,5,0,5
128,2600,3300,3800,30,12,0,2,0,2
129,1900,2000,2000,12,18,1,2,0,2
130,2000,2100,3100,24,16,1,2,0,2
131,1900,1600,1700,30,20,0,2,0,2
132,400,500,400,11,11,1,1,0,1
133,10100,8600,11500,45,16,0,5,0,5
134,9200,6300,2600,100,16,0,3,0,3
135,1000,1000,1100,25,12,0,2,0,2
136,3300,3900,3300,25,16,0,5,0,5
137,2000,4100,6800,50,20,1,2,0,2
138,2500,4500,5000,20,12,0,3,0,3
139,3100,2300,2300,40,12,0,5,0,5
140,1000,1000,1500,5,16,1,1,0,1
141,2200,2200,3100,30,16,0,3,0,3
142,1500,4500,NA,25,20,0,5,0,5
143,1100,1400,NA,10,12,1,2,0,2
144,5300,5200,NA,10,12,0,5,0,5
145,1800,1900,NA,20,14,0,2,-1,3
146,1000,1600,NA,7,13,1,1,0,1
147,1700,1300,3400,35,12,0,2,0,2
148,1700,1900,3800,45,16,0,2,0,2
149,5500,4100,7200,60,13,1,2,0,2
150,1700,1800,1700,35,16,0,4,0,4
151,1600,2100,2000,30,20,1,2,0,2
152,3500,3800,4600,35,14,0,3,-1,4
153,1400,1700,NA,23,15,0,4,0,4
154,2500,3700,5500,15,14,0,4,0,4
155,2400,3000,3500,41,16,0,4,0,4
156,3700,5300,5600,5,14,1,1,0,1
157,2000,2400,3300,20,12,0,2,0,2
158,3000,3400,3100,20,12,1,3,-1,4
159,3600,5300,NA,15,16,0,7,-3,10
160,2400,2500,1600,15,13,0,3,0,3
161,1200,1300,1300,30,12,0,2,0,2
162,1500,1900,1700,15,14,0,4,0,4
163,2400,2700,1800,20,20,0,3,0,3
164,4800,7400,6600,15,14,0,2,0,2
165,500,2000,1900,15,13,1,1,-1,2
166,2600,4000,4700,20,12,0,5,0,5
167,1000,1300,2000,30,13,1,2,0,2
168,1000,1200,1600,22,13,0,2,0,2
169,4100,4300,5700,55,16,0,5,1,4
170,1900,2300,2500,30,12,0,2,0,2
171,200,400,400,8,12,1,1,0,1
172,2600,5600,3700,10,12,0,7,1,6
173,500,500,500,6,12,1,1,0,1
174,1800,1900,2500,35,20,0,3,0,3
175,1200,1600,1900,30,13,0,2,-1,3
176,1000,1000,1300,10,20,1,2,0,2
177,1300,1900,1900,30,20,0,3,0,3
178,2100,2900,NA,30,16,0,4,0,4
180,3700,3900,5200,14,16,1,1,0,1
181,1000,1200,NA,30,20,0,2,0,2
182,2800,3200,3800,45,16,0,5,1,4
183,2600,2700,2800,50,13,0,3,1,2
184,800,700,1800,5,12,1,1,0,1
185,100,1300,1400,10,9,1,2,0,2
186,2600,3100,3500,15,12,0,4,0,4
187,400,1100,800,15,12,1,2,0,2
188,2200,2100,2200,45,16,0,2,0,2
189,1600,2200,2500,40,12,0,2,0,2
190,1000,1400,1500,8,8,1,1,-1,2
191,1900,4200,3800,20,16,0,2,0,2
192,1500,1900,2100,10,12,1,2,0,2
193,1700,2100,2100,5,8,0,4,0,4
194,2800,2700,4000,30,13,0,5,0,5
195,1000,1300,1500,8,10,1,1,0,1
196,3100,4000,4000,45,14,0,3,0,3
197,2200,2500,NA,25,16,0,6,0,6
198,2300,2100,2400,10,14,0,4,1,3
199,700,1300,NA,8,12,1,2,0,2
200,1000,1000,1000,7,11,1,2,0,2
201,300,1100,1700,18,13,1,1,-1,2
202,1100,1000,1400,25,20,1,1,0,1
203,2300,2500,2600,9,8,1,3,0,3
204,7200,8700,8700,33,12,0,8,0,8
205,1800,1000,NA,25,12,0,2,0,2
206,3700,4600,4400,25,10,1,4,0,4
207,3600,4500,6000,25,14,0,5,0,5
208,3700,4100,3900,14,12,0,8,0,8
209,2000,1600,1900,24,12,0,3,0,3
210,1200,1900,2000,15,12,0,2,0,2
211,1900,2200,1800,20,11,0,4,0,4
212,1000,2100,1600,10,12,1,2,0,2
213,4000,4100,NA,15,16,0,5,0,5
214,1400,1900,2300,15,20,0,1,0,1
215,2800,3700,3400,25,12,0,5,0,5
216,2500,3700,2900,20,10,0,4,0,4
218,3200,3300,3400,20,18,1,4,0,4
219,2300,2000,1700,5,8,1,2,0,2
220,4900,6600,5000,40,14,0,7,0,7
221,1600,1600,2300,25,12,0,4,0,4
222,1000,2500,1000,10,12,0,3,0,3
223,1300,1800,2100,25,13,0,3,0,3
224,3800,5500,3300,35,14,0,2,0,2
225,2100,1900,2800,20,13,0,2,0,2
226,1100,1000,1000,25,16,1,3,0,3
227,1000,1100,1200,35,16,0,2,0,2
228,2500,3800,2700,28,20,0,3,-1,4
229,3800,3900,3700,45,14,0,4,0,4
230,4000,4800,3400,5,12,1,6,0,6
231,1600,2400,5000,25,14,0,5,0,5
232,4700,5300,4000,25,12,1,2,-1,3
233,1000,700,1000,30,18,1,1,0,1
234,1100,1000,1500,5,12,1,2,0,2
235,2800,3000,3200,20,12,0,2,0,2
236,1300,2300,2800,30,12,0,2,0,2
237,3700,5000,4900,6,8,1,9,0,9
238,600,1000,800,20,12,0,3,-1,4
239,1000,1700,2600,15,12,0,1,-2,3
